function,iteration,time
mp_user,0,6.667695045471191
mp_status,0,40.28493571281433
regular_user,0,1.5920369625091553
regular_status,0,151.93413543701172
mp_user,1,5.764396667480469
mp_status,1,39.89216923713684
regular_user,1,2.567135810852051
regular_status,1,153.05806183815002
mp_user,2,5.838462591171265
mp_status,2,39.399070501327515
regular_user,2,1.5870885848999023
regular_status,2,153.8058042526245
mp_user,3,5.849536418914795
mp_status,3,38.841856479644775
regular_user,3,1.661909580230713
regular_status,3,151.74694681167603
mp_user,4,5.800359010696411
mp_status,4,39.377410888671875
regular_user,4,1.6428039073944092
regular_status,4,152.51000881195068
mp_user,5,5.700777769088745
mp_status,5,38.84144115447998
regular_user,5,1.6530025005340576
regular_status,5,151.46747756004333
mp_user,6,5.726218938827515
mp_status,6,125.74430084228516
regular_user,6,1.5374817848205566
regular_status,6,152.56397080421448
mp_user,7,5.767730236053467
mp_status,7,39.44822025299072
regular_user,7,1.5724704265594482
regular_status,7,152.10222506523132
mp_user,8,5.754589796066284
mp_status,8,38.94785928726196
regular_user,8,1.5560901165008545
regular_status,8,152.38334274291992
mp_user,9,5.841308832168579
mp_status,9,38.98826885223389
regular_user,9,1.5270721912384033
regular_status,9,151.55264496803284
mp_user,0,5.938313007354736
mp_status,0,38.59499454498291
regular_user,0,1.6298754215240479
regular_status,0,152.0352954864502
mp_user,1,5.874743461608887
mp_status,1,38.81219172477722
regular_user,1,1.6250033378601074
regular_status,1,151.71042013168335
mp_user,2,5.753698110580444
mp_status,2,38.91502547264099
regular_user,2,1.6212162971496582
regular_status,2,151.776353597641
mp_user,3,5.722739934921265
mp_status,3,38.46341633796692
regular_user,3,1.5445609092712402
regular_status,3,151.4179332256317
mp_user,4,5.858161211013794
mp_status,4,38.58588361740112
regular_user,4,1.6001591682434082
regular_status,4,151.90271949768066
mp_user,5,5.867382764816284
mp_status,5,38.48190236091614
regular_user,5,1.5514724254608154
regular_status,5,151.79976797103882
mp_user,6,5.780832529067993
regular_user,6,1.5987365245819092
regular_status,6,154.99845814704895
mp_user,7,5.941596031188965
mp_status,7,39.088571310043335
regular_user,7,1.601769208908081
regular_status,7,152.31732273101807
mp_user,8,6.0615949630737305
mp_status,8,38.91440677642822
regular_user,8,1.5668988227844238
regular_status,8,151.7175097465515
mp_user,9,6.0212531089782715
mp_status,9,38.51711463928223
regular_user,9,1.5648667812347412
regular_status,9,151.07295107841492
